State,Day,CumCases
Kentucky,6,1
Kentucky,7,1
Kentucky,8,1
Kentucky,9,4
Kentucky,10,5
Kentucky,11,8
Kentucky,12,10
Kentucky,13,14
Kentucky,14,16
Kentucky,15,18
Kentucky,16,21
Kentucky,17,26
Kentucky,18,28
Kentucky,19,50
Kentucky,20,64
Kentucky,21,87
Kentucky,22,103
Kentucky,23,123
Kentucky,24,162
Kentucky,25,197
Kentucky,26,247
Kentucky,27,301
Kentucky,28,380
Kentucky,29,438
Kentucky,30,479
Kentucky,31,628
Kentucky,32,632
Kentucky,33,770
Kentucky,34,770
Kentucky,35,917
NorthDakota,12,1
NorthDakota,13,1
NorthDakota,14,1
NorthDakota,15,1
NorthDakota,16,1
NorthDakota,17,3
NorthDakota,18,6
NorthDakota,19,19
NorthDakota,20,26
NorthDakota,21,28
NorthDakota,22,28
NorthDakota,23,30
NorthDakota,24,36
NorthDakota,25,45
NorthDakota,26,51
NorthDakota,27,68
NorthDakota,28,94
NorthDakota,29,98
NorthDakota,30,109
NorthDakota,31,122
NorthDakota,32,142
NorthDakota,33,159
NorthDakota,34,179
NorthDakota,35,186
NorthDakota,36,207
NorthDakota,37,225
NorthDakota,38,237
NorthDakota,39,251
NorthDakota,40,269
NorthDakota,41,278
Idaho,13,1
Idaho,14,2
Idaho,15,4
Idaho,16,4
Idaho,17,8
Idaho,18,9
Idaho,19,23
Idaho,20,36
Idaho,21,42
Idaho,22,42
Idaho,23,68
Idaho,24,81
Idaho,25,91
Idaho,26,146
Idaho,27,205
Idaho,28,234
Idaho,29,281
Idaho,30,340
Idaho,31,515
Idaho,32,566
Idaho,33,776
Idaho,34,891
Idaho,35,1022
Idaho,36,1078
Idaho,37,1101
Idaho,38,1170
Idaho,39,1210
Idaho,40,1232
Idaho,41,1354
Idaho,42,1396
Maryland,6,3
Maryland,7,3
Maryland,8,5
Maryland,9,5
Maryland,10,8
Maryland,11,9
Maryland,12,12
Maryland,13,18
Maryland,14,24
Maryland,15,24
Maryland,16,42
Maryland,17,60
Maryland,18,85
Maryland,19,107
Maryland,20,149
Maryland,21,193
Maryland,22,244
Maryland,23,290
Maryland,24,349
Maryland,25,425
Maryland,26,583
Maryland,27,775
Maryland,28,995
Maryland,29,1239
Maryland,30,1413
Maryland,31,1660
Maryland,32,1986
Maryland,33,2331
Maryland,34,2758
Maryland,35,3125
Kansas,8,1
Kansas,9,1
Kansas,10,1
Kansas,11,1
Kansas,12,4
Kansas,13,6
Kansas,14,8
Kansas,15,8
Kansas,16,11
Kansas,17,18
Kansas,18,22
Kansas,19,35
Kansas,20,48
Kansas,21,57
Kansas,22,68
Kansas,23,84
Kansas,24,100
Kansas,25,134
Kansas,26,172
Kansas,27,206
Kansas,28,266
Kansas,29,330
Kansas,30,372
Kansas,31,432
Kansas,32,485
Kansas,33,553
Kansas,34,629
Kansas,35,698
Kansas,36,751
Kansas,37,849
